Name,Commune du candidat,Maire sortant de,Photo,Articles
Marc Tomi,,Santo-Pietro-di-Tenda,,
Toussaint Rinieri,,Santo-Pietro-di-Venaco,,
Michel Pinelli,,Sari-d'Orcino,,
Jean Toma,,Sari-Solenzara,,
Paul Quilichini,,Sartène,,
Joseph Pastini,,Scata,,
Jean-Marc Mattei,,Scolca,,
Jean Giudicelli,,Sermano,,
Jean Alfonsi,,Serra-di-Ferro,,
Jean-Noël Profizi,,Serra-di-Fiumorbo,,
Jean-Paul Rocca Serra,,Serra-di-Scopamène,,
Barthélémy Leca,,Serriera,,
Ange Straforelli,,Silvareccio,,
Jean-François Bartoli,,Soccia,,
Guy Moulin-Paoli,,Solaro,,
Jean-Jacques Bartoli,,Sollacaro,,
Dominique Albertini,,Sorbo-Ocagnano,,
Alain Martinelli,,Sorbollano,,
Joseph Chiarelli,,Sorio,,
Jean-Marc Serra,,Sotta,,
Alexandre Rossi,,Soveria,,
Jean-François Poli,,Speloncato,,
Etienne Raffalli,,Stazzona,,
Marie Thérèse Mariotti,,Taglio-Isolaccio,,
Francis Marcantei,,Talasani,,
Christian Orsucci,,Tallone,,
Charles-Jean Catani,,Tarrano,,
Marthe Tomi,,Tasso,,
Jean-Marie Pasqualaggi,,Tavaco,,
François Chiarasini,,Tavera,,
Dominique Vincenti,,Tolla,,
François Orlandi,,Tomino,,
Pascal Chessa,,Tox,,
Félicie Mazzacami,,Tralonca,,
Jean-Luc Giocanti,,Ucciani,,
François Casanova,,Urbalacone,,
Paul-Vincent Ferrandi,,Urtaca,,
Jean-Claude Leenknegt,,Valle-d'Alesani,,
Valérie Ferrandi,,Valle-d'Orezza,,
Simon-Pierre Riolacci,,Valle-di-Campoloro,,
Horace Franchi,,Valle-di-Mezzana,,
Christian Moracchini,,Valle-di-Rostino,,
Augustin Poggi,,Vallecalle,,
Jean-René Castellani,,Vallica,,
Jean-Marie Pallenti,,Velone-Orneto,,
David Piferini,,Venaco,,
Francois Tiberi,,Ventiseri,,
Balthazar Federici,,Venzolasca,,
Joseph Antoine Mattei,,Verdèse,,
Marie-France Orsoni,,Vero,,
Benoît Bruzi,,Vescovato,,
Philippe Susini,,Vezzani,,
François Colonna,,Vico,,
Joseph Pucci,,Viggianello,,
Charlotte Terrighi,,Vignale,,
Antoine Vincileoni,,Villanova,,
William Monti Rossi,,Ville-di-Paraso,,
Michel Rossi,,Ville-di-Pietrabugno,,
Venture Selvini,,Vivario,,
André Agostini,,Volpajola,,
Clément Baggioni,,Zalana,,
Ribello Lucchini,,Zérubia,,
Jean Poggi,,Zévaco,,
Antoine Paganelli,,Zicavo,,
Gérard Trombetta,,Zigliara,,
Jacques Santelli,,Zilia,,
Pierre Marcellesi,,Zoza,,
Paul Giuganti,,Zuani,,
